,,,,,,,Číslo,20,37,19,3,9,24,18,21,27,33,35,25,14,8,15,17,36,4,34,28,1,10,13,11,38,2,29,32,39,5,6,26,12,23,30,22,16,7,31,,
František,Novosad,ČSSD,Česká strana sociálně demokratická,Zlínský,m,5485,5485,-1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,1,1,-1,0,1,1,1,1,1,,,1,1,-1,1,1,1,1,-1,1,0,,
Ivan,Ohlídal,ČSSD,Česká strana sociálně demokratická,Jihomoravský,m,5486,5486,1,1,1,1,0,-1,0,0,-1,-1,-1,-1,-1,0,1,-1,1,1,1,1,-1,0,0,0,1,1,1,,,1,1,0,0,1,1,1,-1,1,-1,,
Jiří,Petrů,ČSSD,Česká strana sociálně demokratická,Jihomoravský,m,5487,5487,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1,,,1,1,-1,1,1,1,1,-1,1,-1,,
Pavel,Ploc,ČSSD,Česká strana sociálně demokratická,Liberecký,m,5490,5490,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,,,1,1,1,1,1,0,1,-1,0,0,,
Aleš,Rádl,ODS,Občanská demokratická strana,Středočeský,m,5495,5495,1,-1,1,-1,1,0,1,0,0,0,0,1,1,1,1,-1,1,-1,1,1,1,0,1,0,-1,0,0,,,-1,-1,-1,0,-1,-1,-1,1,0,0,,
František,Sivera,ODS,Občanská demokratická strana,Jihomoravský,m,5501,5501,1,-1,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,0,0,,,-1,-1,1,1,-1,0,-1,1,0,1,,
Pavel,Svoboda,ODS,Občanská demokratická strana,Zlínský,m,5505,5505,1,-1,1,-1,0,1,0,1,0,0,0,0,0,-1,-1,1,1,1,0,1,1,1,0,1,-1,0,0,,,-1,0,-1,-1,-1,-1,-1,1,0,0,,
Karel,Šidlo,KSČM,Komunistická strana Čech a Moravy,Plzeňský,m,5506,5506,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,,,1,1,-1,1,1,1,1,-1,1,0,,
Ladislav,Šincl,ČSSD,Česká strana sociálně demokratická,Moravskoslezský,m,5507,5507,1,1,1,-1,0,-1,0,-1,0,0,0,-1,-1,0,0,-1,1,1,0,1,-1,0,0,1,1,0,0,,,0,1,-1,1,1,1,1,-1,0,0,,
Václav,Šlajs,ČSSD,Česká strana sociálně demokratická,Plzeňský,m,5508,5508,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,
Boris,Šťastný,ODS,Občanská demokratická strana,Hlavní město Praha,m,5512,5512,1,-1,1,-1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,0,-1,0,0,,,-1,0,-1,-1,-1,-1,0,1,0,0,,
Jeroným,Tejc,ČSSD,Česká strana sociálně demokratická,Jihomoravský,m,5513,5513,-1,1,1,1,-1,1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,1,1,1,-1,-1,-1,1,1,1,0,0,,,1,1,-1,0,1,1,1,-1,1,-1,,
Tomáš,Úlehla,ODS-Nezařazení,Občanská demokratická strana-Nezařazení,Zlínský,m,5516,5516,1,-1,1,-1,1,1,0,1,1,1,1,1,0,-1,1,1,1,0,1,1,1,0,0,1,0,-1,1,,,-1,-1,0,-1,-1,0,0,1,0,0,,
Vladislav,Vilímec,ODS,Občanská demokratická strana,Plzeňský,m,5520,5520,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,,,-1,-1,-1,-1,-1,-1,-1,1,0,1,,
Martin,Pecina,ČSSD,Česká strana sociálně demokratická,Hlavní město Praha,m,5552,5552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,-1,0,0,0,0,0,0,0,,
Karel,Schwarzenberg,TOP 09,TOP 09,Hlavní město Praha,m,5558,5558,1,-1,1,1,0,1,0,1,1,0,1,0,0,1,-1,0,1,1,-1,1,1,0,0,0,-1,-1,-1,,,0,-1,1,-1,0,0,0,1,0,0,,
Miroslav,Jeník,ODS,Občanská demokratická strana,Středočeský,m,5766,5766,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,0,0,,,-1,-1,0,-1,-1,-1,-1,1,-1,0,,
