id,jmeno,prijmeni,obvod,,,obvod,cislo,,prijmeni,jmeno,foto,cro_n
145,Stanislav,Körner,31,,TRUE,31,7,,Körner,Stanislav,https://samizdat.blob.core.windows.net/vizitky16/senat-31-kscm-stanislav-korner.jpg,
146,Pert,Kůstka,31,,TRUE,31,2,,Kůstka,Petr,https://samizdat.blob.core.windows.net/vizitky16/senat-31-nz-petr-kustka.jpg,
147,Jiří,Madar,31,,TRUE,31,3,,Madar,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-31-ufo-jiri-madar.jpg,
148,Vítězslav,Štefl,31,,TRUE,31,10,,Štefl,Vítězslav,https://samizdat.blob.core.windows.net/vizitky16/senat-31-cssd-vitezslav-stefl.jpg,
149,Ilona,Tajchnerová,31,,TRUE,31,9,,Tajchnerová,Ilona,https://samizdat.blob.core.windows.net/vizitky16/senat-31-top09-ilona-tajchnerova.jpg,
150,Jan,Tvrdík,31,,TRUE,31,8,,Tvrdík,Jan,https://samizdat.blob.core.windows.net/vizitky16/senat-31-ods-jan-tvrdik.jpg,
151,Tomáš,Vandas,31,,TRUE,31,1,,Vandas,Tomáš,https://samizdat.blob.core.windows.net/vizitky16/senat-31-dsss-tomas-vandas.jpg,
152,Veronika,Vrecionová,28,,TRUE,28,3,,Vrecionová,Veronika,https://samizdat.blob.core.windows.net/vizitky16/senat-28-ods-veronika-vrecionova.jpg,
153,Petr,Holeček,28,,TRUE,28,2,,Holeček,Petr,https://samizdat.blob.core.windows.net/vizitky16/senat-28-top09-petr-holecek.jpg,
154,Stanislav,Huml,28,,TRUE,28,5,,Huml,Stanislav,https://samizdat.blob.core.windows.net/vizitky16/senát-28-cssd-stanislav-huml.jpg,
155,Igor,Karen,28,,TRUE,28,8,,Karen,Igor,https://samizdat.blob.core.windows.net/vizitky16/senat-28-ano-igor-karen.jpg,
156,Martin,Mach,28,,TRUE,28,6,,Mach,Martin,https://samizdat.blob.core.windows.net/vizitky16/senat-28-zeleni-a-kdu-csl-martin-mach.jpg,
157,Zdeněk,Štefek,28,,TRUE,28,9,,Štefek,Zdeněk,https://samizdat.blob.core.windows.net/vizitky16/senat-28-kscm-zdenek-stefek.jpg,
158,Jiří,Kobza,28,,TRUE,28,1,,Kobza,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senát-28-svoboda-a-prima-demokracie-tomio-okamura-jiri-kobza.jpg,
159,Svatopluk,Černý,28,,TRUE,28,7,,Černý,Svatopluk,https://samizdat.blob.core.windows.net/vizitky16/senát-28-dsss-svatopluk-cerny.jpg,
160,Pavel,Matějka,28,,TRUE,28,4,,Matějka,Pavel,https://samizdat.blob.core.windows.net/vizitky16/senat-28-spr-rsc-pavel-matejka.jpg,
161,Petr,Zavadil,28,,TRUE,28,10,,Zavadil,Petr,https://samizdat.blob.core.windows.net/vizitky16/senat-28-strana-svobodnych-obcanu-petr-zavadil.jpg,
162,František,Stárek,25,,TRUE,25,6,,Stárek,František,https://samizdat.blob.core.windows.net/vizitky16/senat-25-ods-frantisek-starek.jpg,
